Total_Children,Available_Caregivers,Shelter_Capacity,Emergency_Cases,Average_Stay_Days,Budget,Region,Age_Group,Care_Load
256,58,51,10,146,240839,East,Teen,Medium
281,20,137,33,100,194815,South,Teen,High
235,19,302,14,143,252834,South,Teen,High
166,15,281,9,170,128254,East,Child,Medium
187,69,44,37,84,160192,South,Teen,Medium
111,72,333,31,61,285997,North,Child,Low
78,47,189,30,154,493150,East,Teen,Low
78,73,234,36,115,176658,South,Child,Low
188,17,142,27,148,310464,North,Teen,High
288,14,197,30,80,238044,West,Child,High
64,79,282,5,33,337674,East,Teen,Low
200,45,215,13,134,240408,South,Child,Medium
189,54,256,22,6,109003,East,Teen,Medium
210,75,45,15,7,345052,North,Child,Low
174,63,185,24,76,427551,East,Teen,Medium
207,43,140,38,15,117186,West,Teen,High
26,7,30,1,164,90653,South,Teen,Low
152,11,70,37,8,442647,West,Child,High
254,53,77,38,141,299333,North,Child,High
64,30,137,33,92,307426,East,Child,Medium
268,37,190,39,117,228104,South,Teen,High
50,52,190,24,20,345927,South,Child,Low
42,6,157,35,90,103535,North,Teen,Medium
179,75,239,15,14,294066,North,Teen,Low
177,36,180,17,168,418982,East,Teen,Medium
58,8,284,12,28,400417,South,Teen,Low
101,24,247,36,68,241599,North,Teen,Medium
277,40,59,26,60,306653,South,Teen,High
225,36,74,33,93,337695,East,Teen,High
96,32,109,10,26,355687,West,Child,Low
31,5,68,0,54,462720,North,Child,Low
243,64,269,12,51,459587,East,Teen,Medium
32,60,74,29,27,100975,West,Teen,Low
65,39,107,4,87,267418,East,Child,Low
174,34,317,17,23,341180,North,Teen,Medium
132,58,309,13,166,393227,East,Child,Low
252,40,145,12,33,103756,South,Teen,Medium
36,59,298,31,65,142739,North,Teen,Low
242,62,341,6,89,436492,South,Child,Medium
207,69,82,7,39,321449,East,Child,Low
182,73,97,6,9,378580,North,Teen,Low
93,55,211,15,80,315891,South,Teen,Low
252,26,63,30,11,226096,South,Child,High
243,57,313,26,173,231695,South,Child,High
79,40,335,32,134,335389,West,Child,Medium
241,72,278,28,142,446319,South,Teen,Medium
56,40,140,7,106,164938,South,Child,Low
297,56,123,32,48,249105,East,Teen,High
215,57,208,18,74,472793,East,Child,Medium
261,54,76,20,95,189559,East,Child,High
238,45,311,20,167,492665,East,Child,High
211,22,121,24,66,407703,West,Child,High
36,26,241,22,24,271485,East,Teen,Low
31,70,104,10,167,95567,East,Teen,Low
212,25,231,32,169,245921,East,Child,High
41,48,326,19,76,304536,South,Teen,Low
139,51,337,24,124,253125,West,Teen,Medium
229,43,240,25,99,291192,East,Teen,High
289,33,163,39,131,423853,South,Child,High
211,58,95,11,117,310227,North,Child,Medium
194,21,309,31,111,166322,West,Teen,High
223,64,57,32,84,300765,East,Child,High
183,35,146,9,32,170717,South,Child,Medium
270,77,346,3,164,186687,North,Child,Medium
246,53,143,14,143,126004,North,Child,Medium
26,6,104,5,174,323023,South,Teen,Low
48,52,231,26,155,409635,South,Teen,Low
52,18,88,4,34,233068,West,Child,Low
153,63,44,4,13,456294,South,Teen,Low
98,62,260,17,63,235847,East,Teen,Low
77,62,134,27,160,54590,North,Teen,Low
45,55,194,34,83,235172,East,Teen,Low
245,6,228,21,107,323054,East,Teen,High
23,45,64,33,118,213048,East,Child,Low
118,20,191,3,165,333718,North,Teen,Low
58,8,274,17,51,221724,North,Teen,Low
290,16,316,25,102,83430,North,Child,High
176,33,48,21,154,367771,South,Child,Medium
94,11,309,32,161,307635,East,Child,Medium
149,18,211,13,166,102239,West,Teen,Medium
194,16,176,30,46,366057,South,Teen,High
103,9,205,9,51,411116,South,Child,Medium
41,36,192,23,78,405420,West,Teen,Low
46,78,204,20,55,452693,East,Child,Low
214,47,76,7,177,102772,West,Child,Medium
255,73,285,31,98,115696,North,Teen,High
111,49,203,30,124,224430,East,Child,Medium
40,13,132,33,79,225277,South,Teen,Medium
103,53,150,22,166,263009,North,Child,Low
281,37,174,24,153,412981,North,Child,High
166,22,71,6,127,466110,South,Child,Medium
276,13,58,18,145,414894,West,Teen,High
77,66,302,6,157,240991,North,Child,Low
34,61,43,7,126,425716,North,Child,Low
181,33,335,13,25,289885,East,Child,Medium
182,29,342,0,5,315062,East,Teen,Medium
299,19,218,12,73,161683,South,Teen,High
31,10,324,2,90,337773,South,Teen,Low
293,46,212,27,75,66699,South,Teen,High
290,33,65,37,17,424580,West,Teen,High
227,8,66,14,27,366128,North,Child,High
46,61,43,35,153,363507,South,Child,Low
91,53,152,2,10,319213,East,Child,Low
79,48,112,3,152,156815,North,Child,Low
164,79,188,4,80,497501,South,Teen,Low
112,18,131,25,172,154726,North,Child,Medium
27,7,112,24,13,382207,North,Teen,Low
98,66,73,9,32,331243,North,Teen,Low
46,68,97,7,143,65622,South,Teen,Low
193,49,77,11,120,469497,North,Child,Medium
69,62,86,2,100,351577,North,Teen,Low
218,24,104,26,79,89875,North,Child,High
200,62,51,22,92,262139,East,Teen,Medium
43,61,161,39,60,441525,South,Child,Low
65,72,331,32,109,186204,West,Child,Low
34,56,296,13,39,144932,East,Teen,Low
172,41,316,22,29,370160,North,Teen,Medium
241,12,149,30,117,224311,North,Child,High
225,48,275,12,103,110891,West,Child,Medium
292,9,85,11,151,419110,West,Teen,High
255,73,67,34,35,405487,East,Teen,High
247,35,274,17,85,89550,North,Teen,High
28,49,50,20,54,167295,West,Child,Low
185,13,139,0,91,299092,East,Teen,Medium
233,36,123,37,51,339340,West,Child,High
136,37,165,8,5,262601,North,Teen,Low
91,71,260,22,129,365993,North,Teen,Low
83,34,37,13,142,272566,North,Teen,Low
224,33,319,10,140,359502,North,Child,Medium
228,7,280,6,110,89513,South,Child,High
91,61,116,30,129,285010,South,Child,Low
296,34,233,23,158,291943,South,Child,High
293,13,248,25,166,220100,East,Teen,High
114,30,270,29,23,392625,East,Teen,Medium
185,6,349,33,76,138915,West,Teen,High
51,66,287,37,133,436934,West,Child,Low
30,7,138,4,157,88877,East,Child,Low
236,50,285,4,28,203897,West,Teen,Medium
121,72,311,18,179,116451,East,Teen,Low
286,29,249,37,88,73848,South,Child,High
233,55,112,27,124,456885,East,Child,High
198,17,136,25,73,322019,East,Child,High
107,48,98,22,164,392533,West,Child,Low
60,39,126,29,149,380105,West,Teen,Low
95,59,241,2,110,147976,East,Child,Low
65,13,315,27,73,476409,North,Teen,Medium
179,6,266,32,15,150091,West,Teen,High
99,65,37,2,170,284024,East,Teen,Low
105,45,323,4,151,66552,West,Child,Low
111,48,218,18,107,214354,North,Teen,Low
167,68,110,0,149,217275,West,Teen,Low
180,35,137,37,17,440826,East,Teen,High
221,51,96,8,5,283901,East,Child,Medium
261,6,203,4,6,265608,North,Teen,High
21,73,72,33,113,146338,East,Teen,Low
244,62,216,36,148,126105,North,Teen,High
252,48,331,32,8,402946,East,Child,High
96,78,229,24,61,380884,East,Child,Low
135,60,68,28,117,123301,West,Teen,Medium
173,47,249,24,27,468144,West,Teen,Medium
122,38,336,8,128,492126,North,Child,Low
213,34,33,2,121,64679,West,Child,Medium
185,75,150,14,134,149421,South,Child,Low
109,74,106,3,91,84173,North,Teen,Low
193,59,208,37,158,357043,South,Child,High
141,71,162,19,129,360009,North,Child,Low
162,17,340,22,115,88182,South,Child,Medium
125,7,258,36,11,89109,West,Child,High
142,30,305,7,48,185246,West,Teen,Low
28,61,181,36,165,460277,East,Child,Low
281,28,193,32,117,157046,South,Teen,High
92,57,319,32,168,272003,East,Child,Low
242,74,138,6,8,281042,North,Teen,Low
60,47,155,21,122,115524,South,Teen,Low
223,64,269,4,27,243180,East,Teen,Low
283,62,339,14,157,390956,North,Teen,Medium
197,53,175,20,94,255693,South,Child,Medium
103,46,281,24,96,431086,East,Teen,Low
130,70,212,16,159,422716,South,Teen,Low
270,15,338,6,55,471697,South,Teen,High
26,22,335,18,119,101938,East,Teen,Low
103,56,101,6,85,212348,West,Teen,Low
227,50,248,39,107,376994,West,Child,High
41,48,236,23,84,438337,East,Teen,Low
22,26,202,10,155,473817,North,Teen,Low
146,57,170,0,107,100324,East,Teen,Low
207,63,301,31,13,202336,East,Teen,Medium
33,34,243,39,37,391570,South,Teen,Medium
31,12,298,1,39,489528,West,Child,Low
106,61,49,14,54,92852,West,Child,Low
31,77,95,20,28,491123,West,Child,Low
44,24,332,23,156,167503,West,Teen,Low
262,29,176,16,151,202130,East,Teen,High
141,23,194,8,43,393801,South,Child,Medium
166,9,339,34,29,415644,West,Teen,High
74,79,35,19,157,349496,West,Child,Low
257,76,43,18,159,317165,South,Teen,Medium
192,31,161,17,36,334758,East,Teen,Medium
240,44,272,19,143,371275,East,Teen,High
138,30,260,29,112,224022,East,Child,Medium
202,31,257,39,37,160813,West,Child,High
101,66,191,0,151,224492,West,Child,Low
230,54,312,23,111,52631,West,Child,Medium
169,46,292,23,115,187417,East,Child,Medium
56,33,160,18,125,418544,West,Child,Low
78,43,254,29,20,97674,North,Teen,Low
150,64,287,25,15,442467,South,Child,Medium
221,45,263,37,102,76844,North,Child,High
262,37,345,28,120,121836,North,Child,High
54,20,53,12,29,416292,West,Child,Low
112,27,300,3,97,317506,South,Teen,Low
226,11,124,16,115,320241,North,Child,High
232,30,171,32,100,186671,East,Child,High
178,16,211,4,166,272060,East,Child,Medium
43,76,235,27,16,228445,East,Child,Low
23,9,110,23,25,54258,East,Teen,Low
239,73,303,16,131,141066,South,Teen,Medium
39,53,305,38,33,234343,East,Teen,Low
171,30,237,39,125,384320,South,Child,High
69,9,325,10,128,87056,South,Child,Low
196,26,68,11,155,329405,South,Child,Medium
115,17,317,12,37,431317,South,Teen,Medium
124,32,153,7,140,101696,West,Teen,Low
269,37,312,0,174,218899,North,Child,Medium
136,27,209,8,81,327285,West,Child,Low
247,22,126,27,45,469968,North,Child,High
85,34,220,1,78,139084,West,Teen,Low
281,30,103,13,67,150904,East,Child,High
262,20,302,12,18,143219,South,Teen,High
205,43,78,1,79,102680,East,Teen,Medium
265,37,239,3,178,68792,East,Teen,Medium
144,30,145,11,71,480844,East,Teen,Medium
287,52,52,9,97,420613,West,Child,Medium
150,69,127,2,57,365244,East,Teen,Low
256,42,342,3,98,174118,South,Child,Medium
37,6,219,5,117,248942,South,Teen,Low
59,10,211,22,139,443983,North,Child,Medium
40,50,177,4,15,339136,West,Teen,Low
244,54,52,2,29,440612,South,Teen,Medium
27,42,134,9,159,79570,South,Teen,Low
119,22,192,18,87,245769,West,Child,Medium
259,31,96,13,97,258345,East,Teen,High
106,45,319,20,143,169571,South,Teen,Low
33,76,318,27,59,136126,East,Teen,Low
21,78,75,20,23,417533,South,Teen,Low
60,21,110,35,96,373724,North,Child,Medium
130,66,176,23,171,312888,East,Child,Low
33,33,251,37,94,273766,South,Child,Low
250,62,44,16,15,201630,West,Child,Medium
103,74,150,21,146,239933,West,Teen,Low
149,26,107,18,64,344403,West,Teen,Medium
250,10,324,9,168,298316,South,Teen,High
164,30,270,10,45,464666,East,Child,Medium
47,43,47,37,134,369093,North,Teen,Low
85,16,285,1,111,218001,North,Child,Low
182,18,306,32,64,96589,South,Child,High
248,26,56,30,152,307935,South,Child,High
280,55,31,34,26,387266,South,Teen,High
183,27,324,36,132,443502,East,Teen,High
29,52,341,35,130,224634,West,Teen,Low
214,75,268,22,107,251707,East,Child,Medium
137,54,42,35,136,328531,East,Teen,Medium
289,17,213,39,114,426509,South,Teen,High
99,14,223,38,62,72319,North,Child,High
112,59,85,25,69,181483,East,Teen,Low
285,13,259,24,62,332873,North,Teen,High
276,56,57,16,162,135647,South,Child,High
152,6,349,14,80,424246,East,Child,Medium
295,29,100,36,23,327848,West,Teen,High
283,17,239,3,132,453325,West,Child,High
190,55,213,21,108,474388,East,Teen,Medium
20,62,70,16,111,254957,West,Teen,Low
83,38,289,21,122,461200,East,Child,Low
140,39,113,16,83,208532,West,Child,Medium
126,7,75,13,88,171845,South,Child,Medium
194,63,188,13,176,180317,West,Child,Low
223,74,36,16,122,481690,West,Teen,Medium
184,52,165,7,153,94449,South,Child,Low
139,68,212,33,14,170247,South,Child,Medium
63,23,226,25,34,188268,West,Child,Low
175,71,201,29,28,363678,North,Child,Medium
226,77,305,21,59,63549,North,Teen,Medium
127,9,107,15,108,59821,East,Child,Medium
270,71,207,29,131,85564,West,Child,High
149,15,56,15,129,323217,East,Teen,Medium
39,72,149,37,170,57282,South,Child,Low
20,73,310,23,97,286327,West,Teen,Low
138,5,337,35,12,242218,South,Teen,High
54,67,225,34,161,462405,West,Teen,Low
217,33,306,5,142,422110,West,Teen,Medium
264,16,47,3,79,255855,South,Child,High
78,45,324,17,167,60771,West,Teen,Low
180,6,300,5,44,373636,West,Child,Medium
198,41,82,25,144,486941,East,Teen,Medium
225,49,323,36,89,203306,South,Teen,High
31,52,81,26,20,270354,North,Child,Low
295,28,245,10,82,84096,North,Child,High
200,26,101,37,52,62236,West,Teen,High
261,15,57,15,95,101544,East,Child,High
235,62,281,18,133,348065,West,Teen,Medium
270,50,64,14,26,336720,East,Child,High
145,33,230,25,147,181238,West,Teen,Medium
236,39,278,30,18,195724,North,Child,High
204,19,128,18,77,462854,South,Child,High
58,64,337,23,23,65233,East,Teen,Low
242,46,169,8,44,314029,West,Teen,Medium
203,47,112,22,102,103520,West,Teen,Medium
197,78,77,3,8,276972,East,Child,Low
170,53,307,9,37,261316,East,Child,Low
145,68,277,8,47,149203,North,Teen,Low
253,36,206,18,169,478232,East,Child,High
27,68,81,14,31,159759,West,Teen,Low
148,6,108,33,177,250020,North,Child,High
283,28,93,18,85,192841,North,Child,High
176,70,37,20,117,486363,South,Child,Low
24,42,243,33,121,187521,South,Teen,Low
105,35,54,16,128,485395,South,Child,Low
194,30,285,17,99,282508,East,Child,Medium
212,33,272,16,67,156459,North,Child,Medium
138,71,227,1,138,320280,East,Child,Low
237,29,123,0,128,279735,North,Teen,Medium
133,52,236,9,120,384130,West,Child,Low
164,69,44,36,99,355143,East,Child,Medium
45,57,207,4,71,139567,North,Child,Low
155,71,104,11,101,343196,South,Child,Low
251,22,133,35,120,454562,South,Teen,High
95,13,323,30,17,238749,West,Child,Medium
20,42,197,37,153,326996,East,Child,Low
166,25,144,8,68,427562,North,Child,Medium
161,69,68,25,169,384747,South,Child,Medium
72,25,302,14,89,474701,North,Teen,Low
88,31,164,15,60,256297,East,Child,Low
109,74,261,12,176,418215,South,Child,Low
239,48,68,24,145,74272,West,Teen,High
211,32,320,29,136,446979,West,Child,High
82,49,336,6,116,109087,East,Teen,Low
92,21,76,3,37,366992,East,Child,Low
180,44,65,39,169,80075,North,Child,High
188,7,349,37,57,340836,West,Child,High
108,70,124,29,105,142085,East,Child,Low
195,50,42,9,156,378558,East,Child,Medium
288,34,175,29,93,209920,West,Child,High
92,73,94,38,173,432314,North,Child,Low
264,13,257,6,33,277349,North,Child,High
96,15,271,35,172,69268,West,Child,Medium
178,73,37,34,55,438031,West,Child,Medium
117,70,333,23,54,388467,West,Child,Low
121,35,72,38,115,166985,West,Child,Medium
151,37,273,35,40,222692,West,Teen,Medium
121,43,210,19,113,126872,East,Child,Low
38,50,114,31,64,405418,South,Teen,Low
101,41,184,38,150,352283,West,Teen,Medium
298,64,304,25,24,496353,South,Child,High
148,35,52,25,137,346181,North,Teen,Medium
108,15,144,35,150,128434,East,Child,Medium
232,6,335,34,128,198750,South,Child,High
162,31,328,34,172,486267,North,Teen,High
84,6,128,11,5,68141,North,Teen,Low
95,25,133,32,23,336304,North,Teen,Medium
218,62,80,35,91,456051,West,Child,High
162,9,141,13,158,59383,East,Teen,Medium
112,56,273,32,33,154882,North,Teen,Medium
243,49,198,23,63,205636,West,Teen,High
121,24,101,14,67,419693,South,Child,Medium
286,65,168,30,102,265833,East,Child,High
129,42,260,16,52,481700,South,Teen,Low
284,24,268,11,66,101556,South,Teen,High
22,29,282,21,22,471496,West,Teen,Low
104,6,78,22,31,223854,South,Teen,Medium
136,36,332,25,10,493639,East,Teen,Medium
240,30,101,13,10,207367,South,Teen,High
173,74,292,11,35,369740,West,Teen,Low
172,45,251,3,109,148236,North,Child,Low
31,71,106,12,98,425568,West,Teen,Low
152,5,91,17,60,282144,North,Teen,Medium
247,55,186,27,173,410289,South,Child,High
290,9,323,37,22,295117,North,Teen,High
62,17,154,18,91,387431,West,Child,Low
40,23,258,37,27,383822,West,Teen,Medium
126,16,190,2,168,358099,East,Child,Low
136,52,58,18,29,363224,East,Teen,Low
143,29,143,19,11,393937,North,Teen,Medium
222,61,108,24,152,246002,North,Child,Medium
70,39,52,10,137,465866,East,Child,Low
290,9,135,16,22,415861,South,Child,High
296,26,160,34,110,466428,East,Teen,High
160,61,202,13,37,379870,South,Teen,Low
294,51,293,38,83,247610,North,Teen,High
71,58,314,18,39,92882,North,Teen,Low
46,7,31,2,114,73038,West,Teen,Low
176,57,262,33,69,385774,West,Child,Medium
258,35,280,21,67,334595,South,Teen,High
175,73,137,37,76,250360,South,Child,Medium
155,37,305,26,45,105352,East,Child,Medium
163,76,209,20,132,70521,South,Teen,Low
125,54,242,30,112,376452,North,Teen,Medium
177,20,322,26,108,496070,North,Child,High
165,43,101,36,162,274376,North,Teen,High
21,50,312,1,42,170631,West,Child,Low
96,51,204,8,39,349350,South,Teen,Low
151,48,152,18,178,382107,South,Child,Medium
109,13,256,35,140,176407,West,Teen,High
282,54,330,9,106,448772,West,Teen,Medium
127,64,112,39,72,418980,West,Teen,Medium
93,19,282,38,41,330916,North,Child,Medium
58,40,175,6,89,209135,South,Teen,Low
178,67,149,3,145,417440,East,Child,Low
90,73,94,14,177,72709,East,Teen,Low
260,45,310,11,33,231924,South,Teen,Medium
55,78,312,5,45,448599,South,Child,Low
103,28,135,8,60,313377,West,Child,Low
282,53,329,34,20,339290,West,Child,High
191,22,136,7,144,179205,North,Teen,Medium
192,11,65,6,70,178443,West,Teen,Medium
66,8,176,3,151,363594,South,Teen,Low
160,73,291,12,162,205785,North,Teen,Low
137,64,188,18,148,224830,East,Teen,Low
296,59,294,6,145,392469,South,Teen,Medium
233,20,231,9,73,249538,East,Teen,High
239,33,184,24,27,324518,South,Child,High
45,27,42,34,163,100985,South,Teen,Medium
28,18,326,24,57,343156,North,Child,Low
290,53,114,28,124,134059,North,Teen,High
29,37,309,11,149,336927,West,Child,Low
140,29,274,39,132,458779,South,Child,High
144,25,329,11,53,355337,South,Child,Medium
189,21,345,5,158,311204,North,Teen,Medium
91,27,38,9,17,322186,East,Child,Low
171,61,276,1,112,109031,West,Child,Low
227,62,341,24,170,93163,South,Child,Medium
68,18,307,6,154,400500,North,Child,Low
173,24,267,39,89,408932,South,Teen,High
87,34,232,22,161,445424,North,Teen,Low
69,23,276,10,49,286929,West,Teen,Low
171,57,264,35,178,63796,East,Teen,Medium
38,60,110,22,171,140962,South,Child,Low
119,27,42,6,86,465886,South,Teen,Low
79,66,45,26,72,336464,West,Child,Low
186,37,74,12,101,332218,East,Teen,Medium
221,22,168,16,171,77931,South,Child,High
165,77,177,31,152,331137,West,Child,Medium
183,37,265,25,81,105330,South,Child,Medium
261,36,220,21,39,476207,South,Child,High
88,65,130,12,140,327147,West,Teen,Low
194,58,134,11,56,228568,West,Teen,Medium
68,21,279,6,44,64743,North,Child,Low
127,23,123,0,125,496142,North,Child,Low
245,74,249,32,117,174291,South,Teen,High
180,38,327,13,115,391687,West,Teen,Medium
138,29,162,16,40,74300,East,Teen,Medium
168,72,184,3,138,160888,East,Child,Low
169,78,57,38,74,156818,South,Child,Medium
162,78,311,0,77,262783,North,Child,Low
179,15,145,23,20,121509,West,Child,High
30,20,334,33,178,59703,West,Teen,Medium
157,65,263,33,42,265078,North,Child,Medium
97,11,30,23,22,246086,West,Teen,Medium
96,20,269,14,16,269888,South,Child,Low
273,20,87,16,58,401547,West,Teen,High
277,44,212,12,179,483647,West,Child,High
282,16,55,6,5,106436,North,Teen,High
104,39,106,8,147,333989,North,Teen,Low
165,25,246,34,115,131777,East,Child,High
61,54,291,22,25,85055,South,Teen,Low
144,47,52,38,133,452094,North,Teen,Medium
186,21,273,22,97,60209,North,Teen,High
260,36,187,25,144,108812,North,Child,High
299,45,235,0,128,144035,West,Child,Medium
207,10,339,13,160,415283,South,Child,High
38,31,116,31,43,304948,South,Child,Low
87,24,296,9,169,412982,West,Teen,Low
237,29,163,0,64,192076,West,Teen,Medium
121,70,296,4,163,301290,North,Child,Low
61,13,297,2,101,408267,East,Teen,Low
186,57,82,26,108,476606,East,Child,Medium
128,65,128,21,143,78400,South,Child,Low
55,42,276,17,114,388655,East,Teen,Low
251,7,65,15,33,128121,North,Child,High
248,74,57,1,93,165763,West,Teen,Low
183,59,249,12,123,187948,South,Child,Low
92,5,131,15,145,491320,South,Child,Medium
155,74,292,7,55,435327,West,Child,Low
89,49,300,7,112,402919,East,Teen,Low
215,51,253,9,151,356050,South,Child,Medium
288,30,168,32,62,169925,West,Teen,High
68,18,309,30,40,70378,West,Child,Medium
149,58,315,11,32,76568,East,Child,Low
24,75,279,8,135,307447,East,Teen,Low
46,50,346,36,105,409190,North,Teen,Low
179,35,107,8,111,267296,East,Teen,Medium
168,63,326,17,93,298958,East,Teen,Low
283,33,336,29,173,137332,West,Teen,High
249,21,42,31,39,157014,South,Teen,High
219,18,111,39,97,80796,West,Child,High
69,40,38,22,109,245422,North,Teen,Low
86,62,242,10,80,105061,West,Child,Low
77,28,77,19,88,125597,North,Child,Low
278,67,78,18,80,74401,East,Child,Medium
149,29,338,35,54,184882,South,Teen,High
234,63,69,25,104,411360,South,Child,Medium
191,36,309,9,162,401506,West,Child,Medium
277,22,255,23,76,54902,South,Child,High
121,41,137,12,119,305267,North,Teen,Low
228,30,274,33,81,243806,North,Child,High
135,13,284,28,125,311566,East,Teen,High
283,68,62,35,58,397292,West,Child,High
169,76,52,6,75,361867,East,Teen,Low
55,24,83,29,89,372743,South,Teen,Medium
227,58,338,16,106,257271,East,Child,Medium
125,34,78,12,111,326111,South,Child,Low
177,57,107,23,32,425456,North,Teen,Medium
140,67,151,30,112,221608,West,Teen,Medium
74,15,119,26,25,186207,West,Teen,Medium
31,35,222,20,159,374509,East,Child,Low
164,53,273,0,31,129608,South,Child,Low
155,23,178,14,81,398097,North,Child,Medium
22,16,175,2,54,428471,South,Child,Low
163,19,345,5,161,384123,East,Child,Medium
49,35,170,13,171,153146,South,Teen,Low
256,47,315,37,61,465141,North,Teen,High
298,41,140,32,123,276610,East,Teen,High
134,33,137,37,169,152331,North,Teen,Medium
123,30,310,7,68,80993,East,Teen,Low
137,6,79,25,52,246868,West,Teen,High
24,19,43,14,154,178238,South,Child,Low
267,8,163,13,162,386807,North,Teen,High
140,54,105,19,160,297557,North,Child,Low
168,42,113,18,155,99483,South,Child,Medium
103,27,187,32,8,283586,North,Child,Medium
250,63,315,35,135,205915,North,Child,High
180,79,343,23,65,166747,North,Teen,Low
291,32,123,9,100,87879,West,Teen,High
57,70,326,33,8,290021,North,Child,Low
245,12,123,35,69,316032,West,Child,High
161,33,86,35,144,377857,South,Teen,High
170,15,193,15,145,494367,West,Teen,Medium
133,22,349,14,166,435969,North,Teen,Medium
256,59,127,17,128,319570,North,Child,Medium
85,54,45,6,97,120031,North,Teen,Low
277,18,107,21,35,279645,West,Teen,High
268,78,101,31,75,322191,East,Child,High
199,13,299,18,145,199111,East,Child,High
209,15,316,39,6,242168,South,Teen,High
173,67,95,0,165,478517,South,Child,Low
215,71,97,34,54,491923,South,Child,Medium
281,57,222,4,139,488330,North,Child,Medium
162,43,84,11,150,333510,East,Child,Low
120,60,197,11,12,463961,East,Child,Low
263,32,54,20,59,486298,South,Teen,High
31,79,160,18,47,236342,East,Teen,Low
258,43,131,8,34,192425,South,Teen,Medium
68,29,311,35,63,337224,North,Teen,Medium
61,25,325,31,13,68788,East,Teen,Medium
185,14,323,34,72,478185,North,Child,High
101,47,292,30,171,498387,North,Teen,Medium
177,19,149,31,85,372777,East,Teen,High
235,52,260,36,143,439605,West,Child,High
177,25,320,31,127,186731,South,Teen,High
153,64,190,36,134,346065,East,Teen,Medium
86,54,190,38,27,185233,North,Teen,Medium
26,27,107,37,26,196575,South,Teen,Low
33,17,67,29,158,273611,North,Child,Low
92,73,57,31,144,337126,South,Child,Low
182,8,129,1,164,381158,East,Child,Medium
85,76,323,10,13,236982,North,Child,Low
149,13,153,19,94,102632,South,Teen,Medium
225,39,121,36,37,208244,South,Teen,High
295,25,284,8,156,170056,East,Teen,High
275,62,126,37,93,387840,South,Teen,High
285,22,35,18,99,238876,South,Teen,High
44,76,198,39,73,150750,North,Teen,Low
272,47,300,6,42,277778,East,Teen,Medium
183,10,137,4,143,371070,East,Child,Medium
114,71,328,23,164,123137,North,Child,Low
289,16,76,6,68,119053,West,Child,High
129,16,128,10,76,382482,North,Child,Medium
257,70,43,8,24,422838,North,Child,Medium
44,6,223,29,38,396439,West,Child,Medium
160,19,186,2,115,187816,South,Child,Medium
136,27,183,21,46,138309,East,Teen,Medium
44,33,144,39,140,425865,East,Teen,Medium
98,11,287,19,70,100123,West,Teen,Medium
87,32,174,31,25,425876,East,Teen,Medium
192,18,320,6,83,122672,West,Child,Medium
31,48,39,6,74,485501,South,Child,Low
147,34,243,19,9,238568,West,Child,Medium
115,36,262,24,71,258408,East,Child,Medium
111,74,200,34,175,299720,East,Teen,Low
160,10,50,23,20,307058,West,Teen,High
50,31,44,39,103,102238,East,Teen,Medium
39,28,155,12,77,325561,West,Teen,Low
165,38,242,38,39,402985,East,Child,High
179,44,217,3,87,488345,North,Child,Low
62,51,201,11,175,349863,South,Teen,Low
273,79,276,16,114,54002,East,Teen,Medium
149,28,34,0,43,183404,East,Teen,Low
79,69,260,16,14,338293,East,Teen,Low
170,22,230,1,152,290836,West,Teen,Medium
24,48,178,5,5,250983,East,Teen,Low
285,61,101,10,10,407138,West,Child,Medium
149,32,255,17,178,411133,East,Child,Medium
286,75,103,39,70,135808,North,Teen,High
197,27,336,24,42,371067,North,Child,High
272,38,198,38,165,67352,South,Child,High
75,15,278,27,71,111081,West,Child,Medium
102,39,309,15,104,303080,South,Teen,Low
118,46,181,11,81,248641,East,Child,Low
168,32,253,28,39,71645,East,Child,Medium
175,28,254,22,49,75343,North,Child,Medium
209,12,67,20,154,312789,South,Child,High
282,57,73,15,72,343919,East,Child,High
99,76,214,25,21,54121,East,Child,Low
271,8,270,36,9,309982,West,Child,High
116,9,239,21,61,375886,East,Teen,Medium
279,53,52,9,99,309806,South,Child,Medium
279,34,153,6,172,321415,North,Child,High
122,76,115,8,34,482420,North,Child,Low
59,67,72,24,174,206284,East,Teen,Low
292,51,69,14,11,422965,East,Child,High
120,30,332,12,128,387972,East,Teen,Low
240,61,198,25,95,466697,West,Child,Medium
143,41,204,20,151,145011,East,Teen,Medium
250,11,49,22,173,88682,East,Teen,High
197,44,138,27,166,123749,West,Teen,Medium
82,43,222,37,154,269347,South,Child,Medium
135,66,273,11,56,376891,West,Teen,Low
210,57,309,23,10,51903,North,Child,Medium
81,8,257,12,113,216416,West,Child,Low
275,29,65,39,99,152413,West,Child,High
26,11,74,1,157,398678,South,Teen,Low
174,32,57,38,70,172702,South,Child,High
111,73,183,11,14,299053,East,Teen,Low
33,71,52,38,30,330463,West,Child,Low
248,24,236,13,137,411063,South,Child,High
105,15,120,29,72,202513,North,Child,Medium
152,71,67,18,102,388322,East,Child,Low
202,11,257,30,75,205934,West,Child,High
81,27,231,24,54,474319,North,Child,Medium
238,65,338,3,21,192582,South,Child,Low
265,75,283,12,15,215763,East,Teen,Medium
249,38,67,35,57,384135,North,Child,High
98,23,250,36,54,221444,West,Child,Medium
168,62,216,2,140,287528,North,Teen,Low
157,13,72,15,128,118309,East,Teen,Medium
84,52,143,25,66,224122,West,Teen,Low
32,45,289,39,80,300953,West,Child,Low
